splitter build_time_s fun_i tolerance node_count balance.first balance.second error.first error.second
half 3.033100 1 1.000000 149 6.773333 1.206354 0.978966 0.194437
grad 5.057000 1 1.000000 121 6.049180 0.584674 0.997000 0.176528
half 4.981354 1 0.900000 197 7.212121 1.281356 0.899038 0.178520
grad 5.983047 1 0.900000 147 6.310811 0.543405 0.895850 0.163755
half 7.029667 1 0.800000 281 7.687943 1.197721 0.791707 0.155891
grad 7.004546 1 0.800000 223 6.955357 0.646258 0.794262 0.146056
half 8.959728 1 0.700000 377 8.158730 1.237077 0.690505 0.142293
grad 10.969601 1 0.700000 301 7.403974 0.692235 0.698272 0.131808
half 17.999402 1 0.600000 543 8.735294 1.287584 0.599760 0.125198
grad 23.009975 1 0.600000 473 8.050633 0.673151 0.599769 0.111968
half 49.949899 1 0.500000 927 9.560345 1.347340 0.493990 0.106988
grad 25.045301 1 0.500000 733 8.694823 0.707723 0.497492 0.095866
half 35.026334 1 0.400000 1703 10.539906 1.379615 0.398588 0.089888
grad 38.066597 1 0.400000 1365 9.619327 0.760505 0.399846 0.078194
half 92.054827 1 0.300000 3767 11.659236 1.360504 0.296575 0.067554
grad 104.018393 1 0.300000 3071 10.819010 0.805129 0.299992 0.060310
half 275.060190 1 0.200000 12229 13.465904 1.425824 0.197136 0.047372
grad 236.949003 1 0.200000 9221 12.448493 0.866309 0.199611 0.042276
